name,team_name,high_5s,player_team,super_10s,super_raids,super_tackles,total_defending_points,total_raid_points,red_cards,raid_bonus_points,success_tackles,defence_touch_points,defending_bonus_points,raid_touch_points,unsuccesful_tackles,success_raid_percent,empty_raid,tackle_success_rate,raids,match_player,tackles,points,raid_points_per_match,not_out_percentage,success_tackles_per_match,career_best_points,raid_map_locations,location,tackle_bonus_points,role,unsuccess_raids,success_raids,total_tackle_points,yellow_cards,green_cards,points_per_match_raid_tackle,points_defence_offence
Takamitsu Kono,Dabang Delhi K.C.,0,0,0,0,0,1,1,0,0,1,1,0,1,0,100,0,100.0,1,1,1,2,1.0,100.0,1.0,0,,,0,,0,1,1,0,0,2.0,2
Simon Kibura,Puneri Paltan,0,0,0,0,0,2,9,0,0,2,2,0,9,5,40,6,28.999999999999996,20,9,7,11,1.0,70.0,0.22,0,,,0,,6,8,2,0,0,1.22,11
Jang Lee,Patna Pirates,0,0,9,14,4,25,471,0,122,21,21,0,349,81,36,443,21.0,1048,106,102,496,4.44,78.15,0.24,0,,,0,,229,376,25,0,2,4.68,496
Taedeok Eom,Patna Pirates,0,0,0,0,1,8,14,0,3,7,7,0,11,36,29,13,16.0,35,35,43,22,0.4,65.71,0.23,0,,,0,,12,10,8,0,0,0.63,22
Sanjay Shrestha,Puneri Paltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Waleed Hasani,Puneri Paltan,0,0,0,1,0,0,14,0,2,0,0,0,12,1,45,0,0.0,22,6,1,14,2.33,45.45,0.0,0,,,0,,12,10,0,0,0,2.33,14
Sinotharan Kanesharajah,Bengaluru Bulls,0,0,0,1,0,1,5,0,1,1,1,0,4,1,25,5,50.0,8,3,2,6,1.67,87.5,0.33,0,,,0,,1,2,1,0,0,2.0,6
Wei Yang,Jaipur Pink Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,5,0,0,0.0,33.33,0.0,0,,,0,,2,0,0,0,0,0.0,0
Ajay Thakur,Tamil Thalaivas,0,0,29,23,0,22,794,0,126,22,22,0,668,64,38,672,26.0,1700,120,86,816,6.62,77.41,0.18,0,,,0,,384,643,22,0,19,6.8,816
Amit Chillar,Telugu Titans,2,0,0,0,4,59,1,0,0,55,55,0,1,99,17,4,36.0,6,35,154,60,0.03,83.33,1.69,0,,,0,,1,1,59,0,2,1.71,60
Anup Kumar,U Mumba,0,0,13,17,8,69,527,0,133,61,61,0,394,112,31,725,35.0,1346,91,173,596,5.79,85.14,0.76,0,,,0,,200,421,69,0,22,6.55,596
Bhupender Singh,U Mumba,1,0,0,4,1,12,71,0,22,11,11,0,49,33,23,113,25.0,212,47,44,83,1.51,75.94,0.26,0,,,0,,51,48,12,0,2,1.77,83
Chandran Ranjit,Gujarat Giants,0,0,9,15,3,27,503,0,164,24,24,0,339,53,37,406,31.0,1074,100,77,530,5.03,74.77,0.27,0,,,0,,271,397,27,0,0,5.3,530
Dadaso Awad,Dabang Delhi K.C.,0,0,0,0,3,17,5,0,0,14,14,0,5,30,14,18,32.0,28,12,44,22,0.42,78.57,1.42,0,,,0,,6,4,17,0,0,1.83,22
Deepak Hooda,Telugu Titans,4,0,35,23,8,99,1020,0,174,91,91,0,846,174,38,918,34.0,2171,157,265,1119,6.5,80.75,0.63,0,,,0,,418,835,99,0,5,7.13,1119
Dharmaraj Cheralathan,Haryana Steelers,12,0,0,0,25,261,43,0,15,236,236,0,28,261,16,136,47.0,176,123,497,304,0.35,93.75,2.12,0,,,0,,11,29,261,0,2,2.47,304
Dharmendra Singh,Bengal Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,0.0,,0,,,0,,0,0,0,0,0,,0
Gangadhari Mallesh,Jaipur Pink Panthers,0,0,0,0,4,22,19,0,2,18,18,0,17,36,22,37,33.0,65,36,54,41,0.53,78.46,0.61,0,,,0,,14,14,22,0,0,1.14,41
Gurpreet Singh,Bengaluru Bulls,1,0,0,0,1,26,2,0,1,25,25,0,1,43,33,1,37.0,3,18,68,28,0.11,66.67,1.44,0,,,0,,1,1,26,0,1,1.56,28
GURVINDER SINGH,Gujarat Giants,0,0,1,2,1,18,82,0,25,17,17,0,57,48,26,109,26.0,225,45,65,100,1.82,74.67,0.4,0,,,0,,57,59,18,0,0,2.22,100
Jasmer Gulia,Telugu Titans,5,0,0,0,7,109,7,0,5,102,102,0,2,138,24,16,42.0,29,52,240,116,0.13,79.31,2.1,0,,,0,,6,7,109,0,3,2.23,116
Jasvir Singh,Tamil Thalaivas,0,0,7,7,7,32,380,0,57,25,25,0,323,62,29,511,28.999999999999996,1022,77,87,412,4.94,78.86,0.42,0,,,0,,216,295,32,0,17,5.35,412
Jeeva Gopal,Haryana Steelers,0,0,0,0,2,12,0,0,0,10,10,0,0,48,0,0,17.0,2,24,58,12,0.0,0.0,0.5,0,,,0,,2,0,12,0,0,0.5,12
